layer,head,attrib_contrastive,attrib_ln_scaled,attrib_deceptive_only,pct_of_norm_v
8,6,0.003367288038134575,0.0011239703744649887,-0.027054959908127785,0.03146343421591043
17,2,0.003332216292619705,0.0011263545602560043,-0.05025387927889824,0.031135729087822972
23,5,0.0033298898488283157,0.001115061342716217,-0.021438343450427055,0.031113991146085162
25,13,0.0033171549439430237,0.0011390945874154568,-0.0040756952948868275,0.030994998105523582
21,3,0.0032392521388828754,0.0010958241764456034,0.0032813616562634706,0.030267085983220338
15,12,0.003204755485057831,0.0010479278862476349,-0.07675418257713318,0.029944754425598494
21,8,0.0030681192874908447,0.0009579397737979889,-0.1365223079919815,0.028668046295799592
8,9,0.0030186884105205536,0.0009614378213882446,-0.024998093023896217,0.028206171597770755
7,0,0.0030015259981155396,0.0009478330612182617,-0.1831815242767334,0.028045808591227774
24,13,0.0029413215816020966,0.0009666727855801582,-0.036788832396268845,0.027483267556120076
24,11,0.002931833267211914,0.0009309686720371246,-0.12985825538635254,0.02739461017004129
23,9,0.0029276423156261444,0.0009361254051327705,-0.022356612607836723,0.027355450547214968
18,9,0.0029194876551628113,0.0009759869426488876,-0.023618360981345177,0.027279254623333356
24,14,0.0027894675731658936,0.00100688636302948,0.13996903598308563,0.026064366484769605
19,12,0.0027120187878608704,0.0009644031524658203,0.0745721161365509,0.02534069665493921
20,12,0.002692878246307373,0.0007725134491920471,-0.28836145997047424,0.025161850306422203
11,10,0.0026840567588806152,0.0009842216968536377,0.19233845174312592,0.025079423651442005
15,10,0.002647900953888893,0.0008989567868411541,-0.018674422055482864,0.024741589234250138
12,15,0.0025889668613672256,0.0008627083152532578,-0.026167012751102448,0.02419091791592802
16,14,0.002530425786972046,0.0007764510810375214,-0.14774054288864136,0.02364391890001317
23,1,0.0025183558464050293,0.0008269846439361572,-0.10586590319871902,0.023531139186273368
22,4,0.0024694539606571198,0.0007981080561876297,-0.02873513288795948,0.023074207302859057
12,0,0.002418302930891514,0.0007979242946021259,0.003908398095518351,0.022596259755194616
11,8,0.0024125901982188225,0.000837547704577446,-0.00789070688188076,0.02254288083821314
15,2,0.0023834072053432465,0.0008076559752225876,-0.0007534486358053982,0.022270199331265866
7,14,0.0023631425574421883,0.0007994482293725014,-0.007976284250617027,0.022080849501693
22,9,0.0023264549672603607,0.0007785512134432793,-0.034434039145708084,0.021738046163471393
8,2,0.0023201219737529755,0.0007994789630174637,0.03527887165546417,0.02167887162231162
7,15,0.0022271499037742615,0.0007937662303447723,0.06559840589761734,0.02081015454953254
4,10,0.0021951086819171906,0.0007301149889826775,-0.03579277917742729,0.020510766179817713
14,3,0.0021881163120269775,0.0006483718752861023,-0.148844376206398,0.0204454305246666
15,15,0.0021545961499214172,0.000687597319483757,-0.0674358680844307,0.020132223159163288
11,1,0.0021293535828590393,0.0007194839417934418,0.05443646386265755,0.019896360399811158
14,9,0.00204545259475708,0.0006287954747676849,-0.11638760566711426,0.019112402155105044
20,10,0.0020149946212768555,0.000845104455947876,0.2709819972515106,0.018827807420680163
13,12,0.0019860565662384033,0.0006223469972610474,-0.07850322127342224,0.018557414576133625
22,10,0.0019254311919212341,0.0006717629730701447,0.038975078612565994,0.017990940174466487
2,8,0.0018896646797657013,0.000626605935394764,-0.03480735793709755,0.017656743251128267
11,14,0.001839449629187584,0.0006116768345236778,-0.027780547738075256,0.017187541352561706
29,12,0.0017984758596867323,0.0006148632382974029,-0.001046905294060707,0.016804688597861783
24,10,0.0017195940017700195,0.0006180871278047562,0.05875880643725395,0.01606762835255939
10,5,0.001717928797006607,0.000593231525272131,0.02152605913579464,0.01605206892908973
7,12,0.0017074793577194214,0.0005502887070178986,-0.03268083557486534,0.015954430936176104
2,1,0.0016793962568044662,0.0005644876509904861,-0.021138334646821022,0.015692026654686136
19,1,0.001674481201916933,0.0005755089223384857,-0.006988464388996363,0.01564610111924927
14,2,0.0016661807894706726,0.0005491827614605427,-0.018199944868683815,0.015568543310707143
24,8,0.0016096457839012146,0.0005840044468641281,0.07993470877408981,0.01504028870091849
20,6,0.0015642046928405762,0.0005633747205138206,0.03862011805176735,0.014615693963820313
8,12,0.0015478506684303284,0.0005977004766464233,0.11805945634841919,0.014462884413413606
7,13,0.0014953184872865677,0.0004691134672611952,-0.011053902097046375,0.013972031594493294
12,3,0.0014482289552688599,0.000445045530796051,-0.21013689041137695,0.013532034072416762
26,2,0.0014403164386749268,0.0004588812589645386,-0.06559552997350693,0.01345810070452067
7,1,0.0014208480715751648,0.0004390925168991089,-0.06293509900569916,0.013276191203284805
16,13,0.0014191437512636185,0.0004591178148984909,-0.03049645759165287,0.013260266290002102
13,1,0.001417163759469986,0.0005020499229431152,0.044238198548555374,0.013241765543751267
16,4,0.001416534185409546,0.0002152472734451294,-0.36275413632392883,0.013235882898188913
7,9,0.0013972073793411255,0.0004994263872504234,0.04718597233295441,0.013055296121990736
10,0,0.001390230841934681,0.0004716259427368641,0.012167704291641712,0.012990108403192523
8,15,0.0013864599168300629,0.00045246444642543793,-0.038703300058841705,0.01295487344478724
10,11,0.0013850107789039612,0.0004409775137901306,-0.055795859545469284,0.01294133291742774
18,12,0.001381903886795044,0.0005200952291488647,0.04888534173369408,0.012912302583705827
3,11,0.0013674598885700107,0.00045658208546228707,0.001505090738646686,0.012777340031402216
29,13,0.0012741796672344208,0.0004989374428987503,0.049359407275915146,0.011905743638578098
19,4,0.0012372061610221863,0.000409688800573349,-0.047468263655900955,0.011560268743865898
17,3,0.0012018410488963127,0.00040284544229507446,-0.01043566782027483,0.011229822442180598
17,10,0.0011994391679763794,0.0005202591419219971,0.19949503242969513,0.011207379627231914
17,11,0.0011507868766784668,0.00038689724169671535,-0.010355441831052303,0.010752779916910368
3,10,0.0010823830962181091,0.00034918077290058136,-0.05172284319996834,0.010113625255277578
1,4,0.001071099191904068,0.0003701860550791025,0.012342131696641445,0.010008190146352312
19,2,0.0010682791471481323,0.000332588329911232,-0.08924650400876999,0.009981840071259403
9,14,0.001052694395184517,0.00032469816505908966,-0.018529193475842476,0.009836218487175927
12,8,0.0010494142770767212,0.0004225485026836395,0.13006830215454102,0.009805569555710528
6,0,0.001042477786540985,0.0003822352737188339,0.08160378783941269,0.009740756028863765
27,15,0.0010219225659966469,0.0003561291377991438,0.010376707650721073,0.009548691132108274
4,2,0.0010054009035229683,0.00033703562803566456,-0.008019017986953259,0.009394315196788515
0,13,0.0009816065430641174,0.0003511914983391762,0.02189570665359497,0.009171984262657482
14,15,0.000949252163991332,0.0003320222022011876,0.004239604342728853,0.00886966979890369
7,2,0.000943407416343689,0.000315248966217041,-0.04529906436800957,0.008815057353803184
6,10,0.0009384599979966879,0.0003132956917397678,0.002936668461188674,0.008768829419056713
19,10,0.000935826450586319,0.0003096798900514841,-0.01034157071262598,0.008744221947179574
23,13,0.0009147562086582184,0.0003212690644431859,0.0020668033976107836,0.00854734476788565
4,4,0.0009045824408531189,0.00024008005857467651,-0.12381086498498917,0.008452282607940155
1,7,0.000830652192234993,0.000299232080578804,0.031325485557317734,0.007761489457007059
5,7,0.0007992214523255825,0.00026643869932740927,-0.004982661455869675,0.0074678053390172675
3,15,0.0007696874672546983,0.0002657497825566679,6.776341706427047e-06,0.007191844213658288
13,14,0.0007648952305316925,0.000234115868806839,-0.05101531371474266,0.007147066272723692
21,15,0.0007518399506807327,0.00022823619656264782,-0.005701456218957901,0.007025079696550502
9,4,0.0007514432072639465,0.000312216579914093,0.09333407878875732,0.007021372585589611
22,3,0.0007445290684700012,0.00016613304615020752,-0.122317373752594,0.006956767910064589
5,4,0.0007383543998003006,0.000234309583902359,-0.029375730082392693,0.006899072732433811
9,10,0.0007285273168236017,0.0002319604391232133,-0.0032509074080735445,0.006807249943509895
12,7,0.0007157025975175202,0.0002488199679646641,0.0016294881934300065,0.006687417690475803
26,15,0.0007132813334465027,0.00024712778395041823,0.001365498173981905,0.006664793762271547
19,11,0.0007095932960510254,0.00018023326992988586,-0.09669121354818344,0.006630333294184385
3,1,0.0007078051567077637,0.00020477548241615295,-0.06492636352777481,0.006613625188445155
1,13,0.0006870254874229431,0.00022336794063448906,-0.01676906831562519,0.006419463076333855
25,11,0.0006771720945835114,0.0002509830519556999,0.036681100726127625,0.006327394451999974
18,7,0.0006714686751365662,0.0002337377518415451,0.026650628075003624,0.006274102556402555
1,2,0.0006661489605903625,0.00023940904065966606,0.02353711985051632,0.006224395941828346
0,14,0.0006587505340576172,0.00023900717496871948,0.03201993554830551,0.006155266154332283
7,7,0.0006548389792442322,0.00020677410066127777,-0.012643206864595413,0.006118717173027717
8,1,0.0006517264991998672,0.00023038173094391823,0.016130534932017326,0.00608963462647537
8,7,0.0006477385759353638,0.00020333938300609589,-0.01624714396893978,0.006052372069821526
13,11,0.0006471462547779083,0.00021556299179792404,-0.018196748569607735,0.006046837509795406
17,8,0.0006446242332458496,0.0002627260982990265,0.09315705299377441,0.006023272118992367
20,15,0.0006413385272026062,0.00022947043180465698,0.0399387888610363,0.005992570974696532
9,3,0.0005610194057226181,0.00020436826162040234,-0.008903317153453827,0.005242081154299312
16,11,0.0005513280630111694,0.00020438944920897484,0.012399591505527496,0.005151526702048048
18,11,0.0005265139043331146,0.0001422809436917305,-0.031838130205869675,0.00491966692636261
11,9,0.0005249530076980591,0.00013999268412590027,-0.06596244126558304,0.004905082142394408
19,9,0.0005004005506634712,0.00015452690422534943,-0.010287261568009853,0.004675667667601014
5,9,0.0004711331566795707,0.0001610739855095744,-0.0018272107699885964,0.004402197529360709
19,0,0.00043644756078720093,0.00010792911052703857,-0.08915400505065918,0.004078100525409777
17,6,0.00043524056673049927,9.127333760261536e-05,-0.10065975040197372,0.004066822554035796
4,15,0.00041762692853808403,0.00014776038005948067,0.007320247124880552,0.003902243361435179
3,6,0.00041582807898521423,0.00017521530389785767,0.040096379816532135,0.0038854351811042818
21,7,0.0003887792117893696,0.00012505141785368323,-0.0018609780818223953,0.00363269462431401
4,5,0.0003760313265956938,0.00013003955245949328,-0.0005168229108676314,0.0035135802976984003
1,12,0.00037489086389541626,0.0001405305229127407,0.014900111593306065,0.003502923985336788
4,9,0.0003659147769212723,0.00013432372361421585,0.01709774136543274,0.0034190527753812164
9,11,0.0003593798028305173,0.00011868761794175953,-0.0006423625163733959,0.0033579909579546756
6,11,0.00035766512155532837,0.0001566549763083458,0.04188021644949913,0.003341969233382207
5,3,0.00035741738975048065,0.00013441406190395355,0.01753820851445198,0.0033396544645662514
0,8,0.00035387277603149414,0.0001254943199455738,0.011216633953154087,0.0033065341257935907
13,8,0.0003486126661300659,5.1390379667282104e-05,-0.11156447976827621,0.003257384448077356
8,13,0.00033845799043774605,0.00012439140118658543,0.007367508951574564,0.0031625006819691825
25,6,0.0003249906003475189,0.00013998616486787796,0.03941360116004944,0.0030366634095514047
4,12,0.00031978171318769455,0.00010725343599915504,-0.010204826481640339,0.002987992349447492
0,15,0.000316547229886055,0.0001230626367032528,0.01901314966380596,0.0029577698227639788
15,4,0.000309772789478302,0.00014453008770942688,0.05344768241047859,0.002894470467999834
