layer,head,proj_v30
2,5,-0.018867112696170807
25,1,-0.01943465694785118
23,0,-0.019522011280059814
6,8,-0.019528048112988472
10,7,-0.019559206441044807
11,5,-0.020583409816026688
2,9,-0.020672470331192017
29,4,-0.020936204120516777
2,1,-0.021138334646821022
23,5,-0.021438343450427055
22,6,-0.021515080705285072
2,0,-0.021807963028550148
5,10,-0.022141071036458015
9,15,-0.02219877578318119
23,9,-0.022356612607836723
24,15,-0.02288794331252575
11,3,-0.023290537297725677
4,0,-0.02354493737220764
18,9,-0.023618360981345177
11,4,-0.02391842007637024
5,0,-0.02416750229895115
12,4,-0.024543024599552155
8,9,-0.024998093023896217
14,4,-0.025246286764740944
0,3,-0.02585926651954651
12,15,-0.026167012751102448
20,7,-0.02664005197584629
3,4,-0.026812070980668068
8,6,-0.027054959908127785
5,11,-0.027418414130806923
10,12,-0.02754606492817402
10,6,-0.027679653838276863
11,14,-0.027780547738075256
4,1,-0.02784004807472229
2,14,-0.027939217165112495
25,4,-0.028315039351582527
22,4,-0.02873513288795948
5,4,-0.029375730082392693
8,5,-0.02978857420384884
16,13,-0.03049645759165287
18,14,-0.03093133680522442
23,15,-0.03132070228457451
18,11,-0.031838130205869675
29,15,-0.03185001388192177
20,3,-0.03222694993019104
7,12,-0.03268083557486534
2,12,-0.032724976539611816
27,6,-0.03308000788092613
29,14,-0.0333181656897068
22,9,-0.034434039145708084
2,8,-0.03480735793709755
10,10,-0.03513476625084877
3,14,-0.03526641055941582
25,2,-0.03532383218407631
27,4,-0.035717811435461044
4,10,-0.03579277917742729
21,13,-0.0364471860229969
24,13,-0.036788832396268845
14,13,-0.03694906830787659
19,13,-0.03714447468519211
21,9,-0.03840702772140503
9,0,-0.03867350146174431
8,15,-0.038703300058841705
20,8,-0.04087955132126808
14,10,-0.04377123340964317
11,12,-0.044328395277261734
15,11,-0.04454213008284569
7,2,-0.04529906436800957
14,7,-0.04531009867787361
9,2,-0.045905474573373795
12,1,-0.04640713334083557
19,4,-0.047468263655900955
11,7,-0.0481414794921875
12,6,-0.04844854399561882
1,10,-0.048779815435409546
16,3,-0.048858076333999634
17,2,-0.05025387927889824
13,14,-0.05101531371474266
13,2,-0.05133052170276642
3,10,-0.05172284319996834
15,7,-0.05227881297469139
15,13,-0.05236329510807991
5,1,-0.0527566559612751
22,1,-0.053278014063835144
8,0,-0.0549975223839283
21,11,-0.05526814982295036
16,12,-0.05567790940403938
10,11,-0.055795859545469284
16,15,-0.056230947375297546
6,3,-0.05639057233929634
23,4,-0.05639292299747467
23,6,-0.05736685171723366
6,2,-0.05786618962883949
7,1,-0.06293509900569916
26,7,-0.06465363502502441
21,5,-0.06470920145511627
17,0,-0.0647430345416069
3,1,-0.06492636352777481
26,2,-0.06559552997350693
11,9,-0.06596244126558304
15,15,-0.0674358680844307
24,6,-0.06766784191131592
10,2,-0.06793587654829025
26,9,-0.06973984092473984
18,2,-0.07102222740650177
14,1,-0.07136999815702438
26,0,-0.07302910089492798
16,0,-0.07465206831693649
24,1,-0.07578221708536148
15,12,-0.07675418257713318
13,12,-0.07850322127342224
28,0,-0.088807113468647
19,0,-0.08915400505065918
19,2,-0.08924650400876999
6,4,-0.08940797299146652
18,3,-0.09597236663103104
19,11,-0.09669121354818344
21,4,-0.0982600748538971
3,5,-0.09854826331138611
17,6,-0.10065975040197372
26,6,-0.10334375500679016
25,10,-0.10560382157564163
23,1,-0.10586590319871902
13,10,-0.10906205326318741
22,5,-0.11008981615304947
16,1,-0.11088024824857712
16,7,-0.11107900738716125
13,8,-0.11156447976827621
14,9,-0.11638760566711426
29,10,-0.11670991033315659
11,15,-0.1175265982747078
22,3,-0.122317373752594
4,4,-0.12381086498498917
8,3,-0.12502415478229523
12,2,-0.12506060302257538
24,11,-0.12985825538635254
13,4,-0.13262180984020233
16,6,-0.1328226923942566
24,2,-0.13630305230617523
21,8,-0.1365223079919815
23,7,-0.13764679431915283
29,0,-0.1381298154592514
10,1,-0.1396011859178543
29,1,-0.14161944389343262
16,14,-0.14774054288864136
14,3,-0.148844376206398
12,14,-0.14892525970935822
17,1,-0.16472023725509644
25,15,-0.16508668661117554
10,15,-0.16575147211551666
29,5,-0.16780447959899902
18,4,-0.16823361814022064
12,10,-0.17620664834976196
11,0,-0.17941361665725708
7,0,-0.1831815242767334
24,0,-0.18446938693523407
20,11,-0.1850338578224182
16,8,-0.19214250147342682
22,2,-0.19516204297542572
21,1,-0.20791184902191162
12,3,-0.21013689041137695
12,13,-0.21547816693782806
20,14,-0.21925276517868042
11,6,-0.22056256234645844
29,11,-0.2230326533317566
14,5,-0.2499402016401291
24,3,-0.2537352442741394
18,15,-0.2578362226486206
20,12,-0.28836145997047424
17,4,-0.30922141671180725
15,5,-0.3312399983406067
16,4,-0.36275413632392883
28,15,-0.3811649978160858
28,4,-0.6373531222343445
26,3,-0.7374982237815857
27,8,-0.7918310165405273
