layer,head,p_faithful,delta
22,4,1.1855530903695123e-12,7.309106169764879e-14
22,5,1.2626348411737807e-12,1.5017281250191726e-13
22,6,1.3440779903004084e-12,2.316159616285449e-13
22,7,1.22065630213135e-12,1.0819427345948659e-13
22,8,1.0252859102341433e-12,-8.717611843772015e-14
22,9,1.2745352170143331e-12,1.6207318834246968e-13
22,10,1.1837825515013264e-12,7.132052282946297e-14
22,11,1.1139267958701344e-12,1.4647671982709692e-15
22,12,1.0413413489209452e-12,-7.11206797509183e-14
22,13,1.1499679268643726e-12,3.750589819250915e-14
22,14,1.085042411536526e-12,-2.7419617135337467e-14
22,15,1.4271154569129076e-12,3.1465342824104413e-13
23,0,1.1349659981717148e-12,2.2503969499851366e-14
23,1,1.4711058845603292e-12,3.586438558884657e-13
23,2,1.0592737945737204e-12,-5.318823409814308e-14
23,3,1.2222628260401222e-12,1.098007973682587e-13
23,4,1.1902224073672049e-12,7.776037869534142e-14
23,5,1.2906200152997025e-12,1.78157986627839e-13
23,6,1.2509173741997948e-12,1.3845534552793136e-13
23,7,1.1638980254934552e-12,5.143599682159176e-14
23,8,1.2795741473379243e-12,1.6711211866606085e-13
23,9,1.065590091191455e-12,-4.687193748040847e-14
23,10,1.160347582574171e-12,4.788555390230751e-14
23,11,1.2614653103933198e-12,1.4900328172145634e-13
23,12,1.0534041353198194e-12,-5.905789335204408e-14
23,13,1.0274607895967482e-12,-8.500123907511531e-14
23,14,1.0231464719337963e-12,-8.931555673806718e-14
23,15,1.2649111621509643e-12,1.5244913347910082e-13
24,0,1.5238636508255656e-12,4.114016221537022e-13
24,1,5.005653626122155e-13,-6.11896666059648e-13
24,2,1.5696201745411832e-12,4.571581458693197e-13
24,3,1.2282631651678092e-12,1.1580113649594574e-13
24,4,1.0718946647890635e-12,-4.05673638828e-14
24,5,1.1850220000199031e-12,7.255997134803963e-14
24,6,1.4354138093888098e-12,3.229517807169463e-13
24,7,1.1552794837613e-12,4.281745508943648e-14
24,8,1.3476328812733033e-12,2.351708526014398e-13
24,9,8.27120673340432e-13,-2.8534135533143143e-13
24,10,1.0787102264717147e-12,-3.375180220014873e-14
24,11,1.4123285629141128e-12,2.9986653424224936e-13
24,12,1.10408521439113e-12,-8.376814280733449e-15
24,13,9.984765913711041e-13,-1.1398543730075933e-13
24,14,1.3080991088096376e-12,1.9563708013777417e-13
24,15,1.3619142771898226e-12,2.494522485179591e-13
25,0,1.1183579646603184e-12,5.895935988454943e-15
25,1,1.1369445447950704e-12,2.4482516123206936e-14
25,2,1.1413560315697197e-12,2.8894002897856203e-14
25,3,1.141028670970151e-12,2.8566642298287554e-14
25,4,1.223617340700755e-12,1.1115531202889158e-13
25,5,1.1291261803735097e-12,1.6664151701646254e-14
25,6,1.1941990735279515e-12,8.173704485608803e-14
25,7,1.105173967189513e-12,-7.288061482350504e-15
25,8,1.0805473983671222e-12,-3.191463030474123e-14
25,9,1.5635913783896664e-12,4.511293497178029e-13
